"arch","lambda","seed","threshold","Acc","Spec","Sens","BalAcc","Acc_flip","is_MC"
"GRU",0,64,0.55,0.452459016393443,0.925170068027211,0.0126582278481013,0.468914147937656,0.547540983606557,FALSE
"GRU",0,64,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0,64,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0,64,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0.05,23,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"GRU",0.05,23,0.35,0.518032786885246,0.00680272108843537,0.993670886075949,0.500236803582192,0.481967213114754,FALSE
"GRU",0.05,23,0.4,0.478688524590164,0.054421768707483,0.873417721518987,0.463919745113235,0.521311475409836,FALSE
"GRU",0.05,23,0.45,0.445901639344262,0.0884353741496599,0.778481012658228,0.433458193403944,0.554098360655738,FALSE
"GRU",0.05,23,0.5,0.380327868852459,0.442176870748299,0.322784810126582,0.382480840437441,0.619672131147541,FALSE
"GRU",0.05,23,0.55,0.468852459016393,0.965986394557823,0.00632911392405063,0.486157754240937,0.531147540983607,FALSE
"GRU",0.05,23,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0.05,23,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0.05,23,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0.05,27,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"GRU",0.05,27,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"GRU",0.05,27,0.4,0.508196721311475,0.0340136054421769,0.949367088607595,0.491690347024886,0.491803278688525,FALSE
"GRU",0.05,27,0.45,0.465573770491803,0.0952380952380952,0.810126582278481,0.452682338758288,0.534426229508197,FALSE
"GRU",0.05,27,0.5,0.4,0.414965986394558,0.386075949367089,0.400520967880823,0.6,FALSE
"GRU",0.05,27,0.55,0.465573770491803,0.918367346938776,0.0443037974683544,0.481335572203565,0.534426229508197,FALSE
"GRU",0.05,27,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0.05,27,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0.05,27,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0.05,98,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"GRU",0.05,98,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"GRU",0.05,98,0.4,0.514754098360656,0.0136054421768707,0.981012658227848,0.497309050202359,0.485245901639344,FALSE
"GRU",0.05,98,0.45,0.478688524590164,0.0952380952380952,0.835443037974684,0.465340566606389,0.521311475409836,FALSE
"GRU",0.05,98,0.5,0.386885245901639,0.346938775510204,0.424050632911392,0.385494704210798,0.613114754098361,FALSE
"GRU",0.05,98,0.55,0.445901639344262,0.904761904761905,0.0189873417721519,0.461874623267028,0.554098360655738,FALSE
"GRU",0.05,98,0.6,0.475409836065574,0.986394557823129,0,0.493197278911565,0.524590163934426,TRUE
"GRU",0.05,98,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0.05,98,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0.05,41,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"GRU",0.05,41,0.35,0.514754098360656,0.0136054421768707,0.981012658227848,0.497309050202359,0.485245901639344,FALSE
"GRU",0.05,41,0.4,0.472131147540984,0.054421768707483,0.860759493670886,0.457590631189185,0.527868852459016,FALSE
"GRU",0.05,41,0.45,0.465573770491803,0.0884353741496599,0.816455696202532,0.452445535176096,0.534426229508197,FALSE
"GRU",0.05,41,0.5,0.390163934426229,0.448979591836735,0.335443037974684,0.392211314905709,0.60983606557377,FALSE
"GRU",0.05,41,0.55,0.442622950819672,0.884353741496599,0.0316455696202532,0.457999655558426,0.557377049180328,FALSE
"GRU",0.05,41,0.6,0.475409836065574,0.979591836734694,0.00632911392405063,0.492960475329372,0.524590163934426,FALSE
"GRU",0.05,41,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0.05,41,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"GRU",0.05,64,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"GRU",0.05,64,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"GRU",0.05,64,0.4,0.508196721311475,0.0136054421768707,0.968354430379747,0.490979936278309,0.491803278688525,FALSE
"GRU",0.05,64,0.45,0.472131147540984,0.0476190476190476,0.867088607594937,0.457353827606992,0.527868852459016,FALSE
"GRU",0.05,64,0.5,0.390163934426229,0.374149659863946,0.40506329113924,0.389606475501593,0.60983606557377,FALSE
