"arch","lambda","seed","threshold","Acc","Spec","Sens","BalAcc","Acc_flip","is_MC"
"TCN",0.05,41,0.3,0.518032786885246,0.0136054421768707,0.987341772151899,0.500473607164385,0.481967213114754,FALSE
"TCN",0.05,41,0.35,0.518032786885246,0.0204081632653061,0.981012658227848,0.500710410746577,0.481967213114754,FALSE
"TCN",0.05,41,0.4,0.508196721311475,0.0612244897959184,0.924050632911392,0.492637561353655,0.491803278688525,FALSE
"TCN",0.05,41,0.45,0.462295081967213,0.115646258503401,0.784810126582278,0.45022819254284,0.537704918032787,FALSE
"TCN",0.05,41,0.5,0.39344262295082,0.360544217687075,0.424050632911392,0.392297425299234,0.60655737704918,FALSE
"TCN",0.05,41,0.55,0.481967213114754,0.993197278911565,0.00632911392405063,0.499763196417808,0.518032786885246,FALSE
"TCN",0.05,41,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0.05,41,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0.05,41,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0.05,64,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"TCN",0.05,64,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"TCN",0.05,64,0.4,0.514754098360656,0.0136054421768707,0.981012658227848,0.497309050202359,0.485245901639344,FALSE
"TCN",0.05,64,0.45,0.478688524590164,0.108843537414966,0.822784810126582,0.465814173770774,0.521311475409836,FALSE
"TCN",0.05,64,0.5,0.419672131147541,0.435374149659864,0.40506329113924,0.420218720399552,0.580327868852459,FALSE
"TCN",0.05,64,0.55,0.468852459016393,0.965986394557823,0.00632911392405063,0.486157754240937,0.531147540983607,FALSE
"TCN",0.05,64,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0.05,64,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0.05,64,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0.1,23,0.3,0.518032786885246,0.0136054421768707,0.987341772151899,0.500473607164385,0.481967213114754,FALSE
"TCN",0.1,23,0.35,0.508196721311475,0.0204081632653061,0.962025316455696,0.491216739860501,0.491803278688525,FALSE
"TCN",0.1,23,0.4,0.488524590163934,0.054421768707483,0.892405063291139,0.473413415999311,0.511475409836066,FALSE
"TCN",0.1,23,0.45,0.462295081967213,0.115646258503401,0.784810126582278,0.45022819254284,0.537704918032787,FALSE
"TCN",0.1,23,0.5,0.39672131147541,0.408163265306122,0.386075949367089,0.397119607336606,0.60327868852459,FALSE
"TCN",0.1,23,0.55,0.468852459016393,0.965986394557823,0.00632911392405063,0.486157754240937,0.531147540983607,FALSE
"TCN",0.1,23,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0.1,23,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0.1,23,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0.1,27,0.3,0.518032786885246,0.0204081632653061,0.981012658227848,0.500710410746577,0.481967213114754,FALSE
"TCN",0.1,27,0.35,0.514754098360656,0.0476190476190476,0.949367088607595,0.498493068113321,0.485245901639344,FALSE
"TCN",0.1,27,0.4,0.508196721311475,0.0680272108843537,0.917721518987342,0.492874364935848,0.491803278688525,FALSE
"TCN",0.1,27,0.45,0.475409836065574,0.136054421768707,0.791139240506329,0.463596831137518,0.524590163934426,FALSE
"TCN",0.1,27,0.5,0.383606557377049,0.387755102040816,0.379746835443038,0.383750968741927,0.616393442622951,FALSE
"TCN",0.1,27,0.55,0.468852459016393,0.938775510204082,0.0316455696202532,0.485210539912167,0.531147540983607,FALSE
"TCN",0.1,27,0.6,0.481967213114754,0.993197278911565,0.00632911392405063,0.499763196417808,0.518032786885246,FALSE
"TCN",0.1,27,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0.1,27,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
