"ticker","lambda","seed","threshold","Acc_val","BalAcc_val","F1_val","Sens_val","Spec_val","Acc_test","BalAcc_test","F1_test","Sens_test","Spec_test","Acc_flip_test","is_MC_test"
"TAVHL.IS",0,98,0.4,0.585526315789474,0.51953125,0.723684210526316,0.9375,0.1015625,0.511475409836066,0.512921396628827,0.660592255125285,0.953947368421053,0.0718954248366013,0.488524590163934,FALSE
"TAVHL.IS",0,98,0.45,0.552631578947368,0.507102272727273,0.673076923076923,0.795454545454545,0.21875,0.514754098360656,0.515673374613003,0.620512820512821,0.796052631578947,0.235294117647059,0.485245901639344,FALSE
"TAVHL.IS",0,98,0.5,0.555921052631579,0.551491477272727,0.601769911504425,0.579545454545455,0.5234375,0.472131147540984,0.472136222910217,0.472131147540984,0.473684210526316,0.470588235294118,0.527868852459016,FALSE
"TAVHL.IS",0,98,0.55,0.467105263157895,0.517400568181818,0.301724137931034,0.198863636363636,0.8359375,0.459016393442623,0.45811833505332,0.253393665158371,0.184210526315789,0.73202614379085,0.540983606557377,FALSE
"TAVHL.IS",0,98,0.6,0.427631578947368,0.49609375,0.112244897959184,0.0625,0.9296875,0.491803278688525,0.4906260749914,0.205128205128205,0.131578947368421,0.849673202614379,0.508196721311475,FALSE
"TAVHL.IS",0,98,0.65,0.430921052631579,0.504261363636364,0.0748663101604278,0.0397727272727273,0.96875,0.518032786885246,0.516597867217062,0.140350877192982,0.0789473684210526,0.954248366013072,0.481967213114754,FALSE
"TAVHL.IS",0,98,0.7,0.424342105263158,0.501775568181818,0.0223463687150838,0.0113636363636364,0.9921875,0.511475409836066,0.509889920880633,0.0509554140127388,0.0263157894736842,0.993464052287582,0.488524590163934,FALSE
"TAVHL.IS",0,41,0.3,0.578947368421053,0.5,0.733333333333333,1,0,0.498360655737705,0.5,0.665207877461707,1,0,0.501639344262295,TRUE
"TAVHL.IS",0,41,0.35,0.578947368421053,0.5,0.733333333333333,1,0,0.498360655737705,0.5,0.665207877461707,1,0,0.501639344262295,TRUE
"TAVHL.IS",0,41,0.4,0.578947368421053,0.5,0.733333333333333,1,0,0.504918032786885,0.506514447884417,0.666666666666667,0.993421052631579,0.0196078431372549,0.495081967213115,FALSE
"TAVHL.IS",0,41,0.45,0.546052631578947,0.482244318181818,0.693333333333333,0.886363636363636,0.078125,0.524590163934426,0.525950292397661,0.663573085846868,0.940789473684211,0.111111111111111,0.475409836065574,FALSE
"TAVHL.IS",0,41,0.5,0.559210526315789,0.567116477272727,0.575949367088608,0.517045454545455,0.6171875,0.485245901639344,0.485229618163055,0.481848184818482,0.480263157894737,0.490196078431373,0.514754098360656,FALSE
"TAVHL.IS",0,41,0.55,0.467105263157895,0.529119318181818,0.228571428571429,0.136363636363636,0.921875,0.478688524590164,0.477403680770554,0.140540540540541,0.0855263157894737,0.869281045751634,0.521311475409836,FALSE
"TAVHL.IS",0,41,0.6,0.434210526315789,0.504971590909091,0.104166666666667,0.0568181818181818,0.953125,0.498360655737705,0.496775025799794,0.0254777070063694,0.0131578947368421,0.980392156862745,0.501639344262295,FALSE
"TAVHL.IS",0,41,0.65,0.421052631578947,0.498934659090909,0.0112359550561798,0.00568181818181818,0.9921875,0.501639344262295,0.5,NA,0,1,0.498360655737705,TRUE
"TAVHL.IS",0,41,0.7,0.421052631578947,0.5,NA,0,1,0.501639344262295,0.5,NA,0,1,0.498360655737705,TRUE
"TAVHL.IS",0,64,0.3,0.578947368421053,0.5,0.733333333333333,1,0,0.498360655737705,0.5,0.665207877461707,1,0,0.501639344262295,TRUE
"TAVHL.IS",0,64,0.35,0.572368421052632,0.494318181818182,0.728033472803347,0.988636363636364,0,0.498360655737705,0.5,0.665207877461707,1,0,0.501639344262295,TRUE
"TAVHL.IS",0,64,0.4,0.585526315789474,0.514204545454545,0.729613733905579,0.965909090909091,0.0625,0.495081967213115,0.496667526659787,0.65929203539823,0.980263157894737,0.0130718954248366,0.504918032786885,FALSE
"TAVHL.IS",0,64,0.45,0.569078947368421,0.527698863636364,0.679706601466993,0.789772727272727,0.265625,0.511475409836066,0.512534399724802,0.630272952853598,0.835526315789474,0.189542483660131,0.488524590163934,FALSE
"TAVHL.IS",0,64,0.5,0.546052631578947,0.54296875,0.589285714285714,0.5625,0.5234375,0.521311475409836,0.521349329205366,0.525974025974026,0.532894736842105,0.509803921568627,0.478688524590164,FALSE
"TAVHL.IS",0,64,0.55,0.457236842105263,0.503551136363636,0.309623430962343,0.210227272727273,0.796875,0.475409836065574,0.474565703474372,0.292035398230088,0.217105263157895,0.73202614379085,0.524590163934426,FALSE
"TAVHL.IS",0,64,0.6,0.434210526315789,0.502840909090909,0.122448979591837,0.0681818181818182,0.9375,0.504918032786885,0.503633470932233,0.183783783783784,0.111842105263158,0.895424836601307,0.495081967213115,FALSE
"TAVHL.IS",0,64,0.65,0.424342105263158,0.501775568181818,0.0223463687150838,0.0113636363636364,0.9921875,0.504918032786885,0.503353973168215,0.050314465408805,0.0263157894736842,0.980392156862745,0.495081967213115,FALSE
"TAVHL.IS",0,64,0.7,0.421052631578947,0.498934659090909,0.0112359550561798,0.00568181818181818,0.9921875,0.501639344262295,0.5,NA,0,1,0.498360655737705,TRUE
"TAVHL.IS",0.05,23,0.3,0.578947368421053,0.5,0.733333333333333,1,0,0.498360655737705,0.5,0.665207877461707,1,0,0.501639344262295,TRUE
"TAVHL.IS",0.05,23,0.35,0.578947368421053,0.5,0.733333333333333,1,0,0.498360655737705,0.5,0.665207877461707,1,0,0.501639344262295,TRUE
"TAVHL.IS",0.05,23,0.4,0.578947368421053,0.5,0.733333333333333,1,0,0.498360655737705,0.5,0.665207877461707,1,0,0.501639344262295,TRUE
"TAVHL.IS",0.05,23,0.45,0.582236842105263,0.512428977272727,0.725701943844492,0.954545454545455,0.0703125,0.495081967213115,0.496603027175783,0.654708520179372,0.960526315789474,0.0326797385620915,0.504918032786885,FALSE
"TAVHL.IS",0.05,23,0.5,0.542763157894737,0.528409090909091,0.610644257703081,0.619318181818182,0.4375,0.508196721311475,0.508449432404541,0.542682926829268,0.585526315789474,0.431372549019608,0.491803278688525,FALSE
"TAVHL.IS",0.05,23,0.55,0.434210526315789,0.50390625,0.11340206185567,0.0625,0.9453125,0.498360655737705,0.496775025799794,0.0254777070063694,0.0131578947368421,0.980392156862745,0.501639344262295,FALSE
"TAVHL.IS",0.05,23,0.6,0.421052631578947,0.5,NA,0,1,0.501639344262295,0.5,NA,0,1,0.498360655737705,TRUE
"TAVHL.IS",0.05,23,0.65,0.421052631578947,0.5,NA,0,1,0.501639344262295,0.5,NA,0,1,0.498360655737705,TRUE
