"lambda","seed","threshold","Acc_val","BalAcc_val","F1_val","Sens_val","Spec_val","Acc_test","BalAcc_test","F1_test","Sens_test","Spec_test","Acc_flip_test","is_MC_test"
0,41,0.55,0.5,0.508118640398355,0.164835164835165,0.0967741935483871,0.919463087248322,0.442622950819672,0.456105226900887,0.13265306122449,0.0822784810126582,0.829931972789116,0.557377049180328,FALSE
0,41,0.6,0.490131578947368,0.499870101753626,0.0127388535031847,0.00645161290322581,0.993288590604027,0.478688524590164,0.496125032291398,0.0245398773006135,0.0126582278481013,0.979591836734694,0.521311475409836,FALSE
0,41,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.499763196417808,0.0125,0.00632911392405063,0.993197278911565,0.518032786885246,FALSE
0,41,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,0.518032786885246,TRUE
0,64,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,0.481967213114754,TRUE
0,64,0.35,0.509868421052632,0.500519592985495,0.669623059866962,0.974193548387097,0.0268456375838926,0.518032786885246,0.500710410746577,0.678336980306346,0.981012658227848,0.0204081632653061,0.481967213114754,FALSE
0,64,0.4,0.529605263157895,0.521822905390777,0.665105386416862,0.916129032258065,0.12751677852349,0.478688524590164,0.463682941531043,0.636155606407323,0.879746835443038,0.0476190476190476,0.521311475409836,FALSE
0,64,0.45,0.506578947368421,0.500671140939597,0.623115577889447,0.8,0.201342281879195,0.472131147540984,0.46114268492207,0.600496277915633,0.765822784810127,0.156462585034014,0.527868852459016,FALSE
0,64,0.5,0.539473684210526,0.5379952370643,0.575757575757576,0.612903225806452,0.463087248322148,0.475409836065574,0.472832170843021,0.518072289156627,0.544303797468354,0.401360544217687,0.524590163934426,FALSE
0,64,0.55,0.532894736842105,0.539467417189868,0.310679611650485,0.206451612903226,0.87248322147651,0.445901639344262,0.456428140876604,0.235294117647059,0.164556962025316,0.748299319727891,0.554098360655738,FALSE
0,64,0.6,0.490131578947368,0.499220610521758,0.0718562874251497,0.0387096774193548,0.959731543624161,0.455737704918033,0.471368294153104,0.0674157303370787,0.0379746835443038,0.904761904761905,0.544262295081967,FALSE
0,64,0.65,0.496710526315789,0.506451612903226,0.0254777070063694,0.0129032258064516,1,0.468852459016393,0.486157754240937,0.0121951219512195,0.00632911392405063,0.965986394557823,0.531147540983607,FALSE
0,64,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,0.518032786885246,TRUE
0.05,23,0.3,0.529605263157895,0.520653821173414,0.678651685393258,0.974193548387097,0.0671140939597315,0.504918032786885,0.487341772151899,0.671023965141612,0.974683544303797,0,0.495081967213115,TRUE
0.05,23,0.35,0.529605263157895,0.522212600129898,0.660332541567696,0.896774193548387,0.147651006711409,0.478688524590164,0.464156548695427,0.632794457274827,0.867088607594937,0.0612244897959184,0.521311475409836,FALSE
0.05,23,0.4,0.526315789473684,0.522494046330375,0.60655737704918,0.716129032258065,0.328859060402685,0.445901639344262,0.437720657883407,0.554089709762533,0.664556962025316,0.210884353741497,0.554098360655738,FALSE
0.05,23,0.45,0.519736842105263,0.520069279064733,0.516556291390729,0.503225806451613,0.536912751677852,0.377049180327869,0.376237836906915,0.39873417721519,0.39873417721519,0.353741496598639,0.622950819672131,FALSE
0.05,23,0.5,0.513157894736842,0.517644511799091,0.378151260504202,0.290322580645161,0.74496644295302,0.419672131147541,0.42898045294067,0.233766233766234,0.170886075949367,0.687074829931973,0.580327868852459,FALSE
0.05,23,0.55,0.509868421052632,0.517536263260446,0.211640211640212,0.129032258064516,0.906040268456376,0.445901639344262,0.459269783862912,0.142131979695431,0.0886075949367089,0.829931972789116,0.554098360655738,FALSE
0.05,23,0.6,0.486842105263158,0.495994804070145,0.0602409638554217,0.032258064516129,0.959731543624161,0.465573770491803,0.481098768621373,0.0893854748603352,0.0506329113924051,0.91156462585034,0.534426229508197,FALSE
0.05,23,0.65,0.490131578947368,0.5,NA,0,1,0.488524590163934,0.506092310341858,0.037037037037037,0.0189873417721519,0.993197278911565,0.511475409836066,FALSE
0.05,23,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,0.518032786885246,TRUE
0.05,27,0.3,0.523026315789474,0.514072310023815,0.674157303370787,0.967741935483871,0.0604026845637584,0.511475409836066,0.495091707569104,0.66815144766147,0.949367088607595,0.0408163265306122,0.488524590163934,FALSE
0.05,27,0.35,0.529605263157895,0.522472396622646,0.657074340527578,0.883870967741936,0.161073825503356,0.465573770491803,0.452208731593903,0.614657210401891,0.822784810126582,0.0816326530612245,0.534426229508197,FALSE
0.05,27,0.4,0.526315789473684,0.519376488417406,0.652173913043478,0.870967741935484,0.167785234899329,0.468852459016393,0.457030913631275,0.604878048780488,0.784810126582278,0.129251700680272,0.531147540983607,FALSE
0.05,27,0.45,0.529605263157895,0.524940463303745,0.622691292875989,0.761290322580645,0.288590604026846,0.455737704918033,0.44697752518729,0.567708333333333,0.689873417721519,0.204081632653061,0.544262295081967,FALSE
0.05,27,0.5,0.532894736842105,0.532972504871184,0.535947712418301,0.529032258064516,0.536912751677852,0.409836065573771,0.408357013691553,0.440993788819876,0.449367088607595,0.36734693877551,0.590163934426229,FALSE
0.05,27,0.55,0.503289473684211,0.508096990690626,0.351931330472103,0.264516129032258,0.751677852348993,0.390163934426229,0.395763368638595,0.290076335877863,0.240506329113924,0.551020408163265,0.60983606557377,FALSE
0.05,27,0.6,0.506578947368421,0.514700151547954,0.175824175824176,0.103225806451613,0.926174496644295,0.455737704918033,0.471605097735297,0.0568181818181818,0.0316455696202532,0.91156462585034,0.544262295081967,FALSE
