"lambda","seed","threshold","Acc_val","BalAcc_val","F1_val","Sens_val","Spec_val","Acc_test","BalAcc_test","F1_test","Sens_test","Spec_test","is_MC_test"
0.05,64,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.05,64,0.35,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.05,64,0.4,0.506578947368421,0.497033990041134,0.669603524229075,0.980645161290323,0.0134228187919463,0.511475409836066,0.494144493240334,0.673960612691466,0.974683544303797,0.0136054421768707,FALSE
0.05,64,0.45,0.529605263157895,0.521433210651656,0.669745958429561,0.935483870967742,0.10738255033557,0.462295081967213,0.447860156720916,0.62037037037037,0.848101265822785,0.0476190476190476,FALSE
0.05,64,0.5,0.542763157894737,0.541221043515913,0.580060422960725,0.619354838709677,0.463087248322148,0.409836065573771,0.407883406527168,0.447852760736196,0.462025316455696,0.353741496598639,FALSE
0.05,64,0.55,0.486842105263158,0.494825719852782,0.152173913043478,0.0903225806451613,0.899328859060403,0.481967213114754,0.497631964178076,0.112359550561798,0.0632911392405063,0.931972789115646,FALSE
0.05,64,0.6,0.496710526315789,0.506451612903226,0.0254777070063694,0.0129032258064516,1,0.481967213114754,0.5,NA,0,1,TRUE
0.05,64,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.05,64,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.1,23,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.1,23,0.35,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.1,23,0.4,0.506578947368421,0.497293786533882,0.666666666666667,0.967741935483871,0.0268456375838926,0.488524590163934,0.472466201670542,0.650224215246637,0.917721518987342,0.0272108843537415,FALSE
0.1,23,0.45,0.529605263157895,0.52156310889803,0.668213457076566,0.929032258064516,0.114093959731544,0.459016393442623,0.444221992594506,0.620689655172414,0.854430379746835,0.0340136054421769,FALSE
0.1,23,0.5,0.532894736842105,0.533232301363932,0.529801324503311,0.516129032258065,0.550335570469799,0.409836065573771,0.411435460260053,0.391891891891892,0.367088607594937,0.45578231292517,FALSE
0.1,23,0.55,0.503289473684211,0.511734141589089,0.146892655367232,0.0838709677419355,0.939597315436242,0.459016393442623,0.474769654697322,0.0677966101694915,0.0379746835443038,0.91156462585034,FALSE
0.1,23,0.6,0.503289473684211,0.512643429313704,0.0736196319018405,0.0387096774193548,0.986577181208054,0.481967213114754,0.5,NA,0,1,TRUE
0.1,23,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.1,23,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.1,27,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.1,27,0.35,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.1,27,0.4,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.1,27,0.45,0.519736842105263,0.511106300064949,0.668181818181818,0.948387096774194,0.0738255033557047,0.481967213114754,0.466610694910876,0.640909090909091,0.892405063291139,0.0408163265306122,FALSE
0.1,27,0.5,0.5625,0.562654254167569,0.563934426229508,0.554838709677419,0.570469798657718,0.436065573770492,0.437699130285025,0.418918918918919,0.392405063291139,0.482993197278912,FALSE
0.1,27,0.55,0.503289473684211,0.511734141589089,0.146892655367232,0.0838709677419355,0.939597315436242,0.462295081967213,0.47817101524154,0.0681818181818182,0.0379746835443038,0.918367346938776,FALSE
0.1,27,0.6,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.1,27,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.1,27,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.1,98,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.1,98,0.35,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.1,98,0.4,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.1,98,0.45,0.506578947368421,0.497423684780255,0.665178571428572,0.961290322580645,0.0335570469798658,0.491803278688525,0.476104365796952,0.650112866817156,0.911392405063291,0.0408163265306122,FALSE
0.1,98,0.5,0.539473684210526,0.538514830049794,0.565217391304348,0.587096774193548,0.48993288590604,0.442622950819672,0.44047619047619,0.481707317073171,0.5,0.380952380952381,FALSE
0.1,98,0.55,0.496710526315789,0.506451612903226,0.0254777070063694,0.0129032258064516,1,0.481967213114754,0.499763196417808,0.0125,0.00632911392405063,0.993197278911565,FALSE
