"arch","lambda","seed","threshold","Acc","Spec","Sens","BalAcc","Acc_flip","is_MC"
"Conv1D",0.05,98,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0.05,98,0.4,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0.05,98,0.45,0.472131147540984,0.0340136054421769,0.879746835443038,0.456880220442607,0.527868852459016,FALSE
"Conv1D",0.05,98,0.5,0.39344262295082,0.244897959183673,0.531645569620253,0.388271764401963,0.60655737704918,FALSE
"Conv1D",0.05,98,0.55,0.445901639344262,0.904761904761905,0.0189873417721519,0.461874623267028,0.554098360655738,FALSE
"Conv1D",0.05,98,0.6,0.475409836065574,0.986394557823129,0,0.493197278911565,0.524590163934426,TRUE
"Conv1D",0.05,98,0.65,0.475409836065574,0.986394557823129,0,0.493197278911565,0.524590163934426,TRUE
"Conv1D",0.05,98,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0.05,41,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0.05,41,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0.05,41,0.4,0.514754098360656,0,0.993670886075949,0.496835443037975,0.485245901639344,TRUE
"Conv1D",0.05,41,0.45,0.452459016393443,0.0680272108843537,0.810126582278481,0.439076896581417,0.547540983606557,FALSE
"Conv1D",0.05,41,0.5,0.390163934426229,0.394557823129252,0.386075949367089,0.39031688624817,0.60983606557377,FALSE
"Conv1D",0.05,41,0.55,0.452459016393443,0.897959183673469,0.0379746835443038,0.467966933608887,0.547540983606557,FALSE
"Conv1D",0.05,41,0.6,0.475409836065574,0.986394557823129,0,0.493197278911565,0.524590163934426,TRUE
"Conv1D",0.05,41,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0.05,41,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0.05,64,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0.05,64,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0.05,64,0.4,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0.05,64,0.45,0.511475409836066,0.0136054421768707,0.974683544303797,0.494144493240334,0.488524590163934,FALSE
"Conv1D",0.05,64,0.5,0.40327868852459,0.414965986394558,0.392405063291139,0.403685524842849,0.59672131147541,FALSE
"Conv1D",0.05,64,0.55,0.488524590163934,0.91156462585034,0.0949367088607595,0.50325066735555,0.511475409836066,FALSE
"Conv1D",0.05,64,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0.05,64,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0.05,64,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0.1,23,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0.1,23,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0.1,23,0.4,0.514754098360656,0.0204081632653061,0.974683544303797,0.497545853784552,0.485245901639344,FALSE
"Conv1D",0.1,23,0.45,0.452459016393443,0.0952380952380952,0.784810126582278,0.440024110910187,0.547540983606557,FALSE
"Conv1D",0.1,23,0.5,0.390163934426229,0.503401360544218,0.284810126582278,0.394105743563248,0.60983606557377,FALSE
"Conv1D",0.1,23,0.55,0.495081967213115,0.931972789115646,0.0886075949367089,0.510290192026178,0.504918032786885,FALSE
"Conv1D",0.1,23,0.6,0.481967213114754,0.979591836734694,0.0189873417721519,0.499289589253423,0.518032786885246,FALSE
"Conv1D",0.1,23,0.65,0.481967213114754,0.986394557823129,0.0126582278481013,0.499526392835615,0.518032786885246,FALSE
"Conv1D",0.1,23,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Conv1D",0.1,27,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Conv1D",0.1,27,0.35,0.518032786885246,0.0136054421768707,0.987341772151899,0.500473607164385,0.481967213114754,FALSE
"Conv1D",0.1,27,0.4,0.518032786885246,0.0204081632653061,0.981012658227848,0.500710410746577,0.481967213114754,FALSE
"Conv1D",0.1,27,0.45,0.468852459016393,0.102040816326531,0.810126582278481,0.456083699302506,0.531147540983607,FALSE
"Conv1D",0.1,27,0.5,0.386885245901639,0.523809523809524,0.259493670886076,0.3916515973478,0.613114754098361,FALSE
"Conv1D",0.1,27,0.55,0.452459016393443,0.897959183673469,0.0379746835443038,0.467966933608887,0.547540983606557,FALSE
