"arch","lambda","seed","threshold","Acc","Spec","Sens","BalAcc","Acc_flip","is_MC"
"Transformer",0,98,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Transformer",0,98,0.4,0.491803278688525,0.00680272108843537,0.943037974683544,0.47492034788599,0.508196721311475,FALSE
"Transformer",0,98,0.45,0.429508196721311,0.115646258503401,0.721518987341772,0.418582622922587,0.570491803278689,FALSE
"Transformer",0,98,0.5,0.40327868852459,0.428571428571429,0.379746835443038,0.404159132007233,0.59672131147541,FALSE
"Transformer",0,98,0.55,0.462295081967213,0.863945578231292,0.0886075949367089,0.476276586584001,0.537704918032787,FALSE
"Transformer",0,98,0.6,0.481967213114754,0.993197278911565,0.00632911392405063,0.499763196417808,0.518032786885246,FALSE
"Transformer",0,98,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0,98,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0,41,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Transformer",0,41,0.35,0.518032786885246,0.00680272108843537,0.993670886075949,0.500236803582192,0.481967213114754,FALSE
"Transformer",0,41,0.4,0.462295081967213,0.0816326530612245,0.816455696202532,0.449044174631878,0.537704918032787,FALSE
"Transformer",0,41,0.45,0.465573770491803,0.285714285714286,0.632911392405063,0.459312839059675,0.534426229508197,FALSE
"Transformer",0,41,0.5,0.459016393442623,0.727891156462585,0.208860759493671,0.468375957978128,0.540983606557377,FALSE
"Transformer",0,41,0.55,0.462295081967213,0.91156462585034,0.0443037974683544,0.477934211659347,0.537704918032787,FALSE
"Transformer",0,41,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0,41,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0,41,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0,64,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Transformer",0,64,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Transformer",0,64,0.4,0.501639344262295,0.0204081632653061,0.949367088607595,0.484887625936451,0.498360655737705,FALSE
"Transformer",0,64,0.45,0.465573770491803,0.0816326530612245,0.822784810126582,0.452208731593903,0.534426229508197,FALSE
"Transformer",0,64,0.5,0.39344262295082,0.448979591836735,0.341772151898734,0.395375871867734,0.60655737704918,FALSE
"Transformer",0,64,0.55,0.436065573770492,0.829931972789116,0.069620253164557,0.449776112976836,0.563934426229508,FALSE
"Transformer",0,64,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0,64,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0,64,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.05,23,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Transformer",0.05,23,0.35,0.495081967213115,0.0204081632653061,0.936708860759494,0.4785585120124,0.504918032786885,FALSE
"Transformer",0.05,23,0.4,0.468852459016393,0.102040816326531,0.810126582278481,0.456083699302506,0.531147540983607,FALSE
"Transformer",0.05,23,0.45,0.439344262295082,0.299319727891156,0.569620253164557,0.434469990527857,0.560655737704918,FALSE
"Transformer",0.05,23,0.5,0.478688524590164,0.829931972789116,0.151898734177215,0.490915353483165,0.521311475409836,FALSE
"Transformer",0.05,23,0.55,0.468852459016393,0.959183673469388,0.0126582278481013,0.485920950658744,0.531147540983607,FALSE
"Transformer",0.05,23,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.05,23,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.05,23,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.05,27,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Transformer",0.05,27,0.35,0.514754098360656,0,0.993670886075949,0.496835443037975,0.485245901639344,TRUE
"Transformer",0.05,27,0.4,0.508196721311475,0.0476190476190476,0.936708860759494,0.492163954189271,0.491803278688525,FALSE
"Transformer",0.05,27,0.45,0.501639344262295,0.204081632653061,0.778481012658228,0.491281322655645,0.498360655737705,FALSE
"Transformer",0.05,27,0.5,0.39672131147541,0.394557823129252,0.39873417721519,0.396646000172221,0.60327868852459,FALSE
"Transformer",0.05,27,0.55,0.377049180327869,0.571428571428571,0.19620253164557,0.38381555153707,0.622950819672131,FALSE
"Transformer",0.05,27,0.6,0.432786885245902,0.82312925170068,0.069620253164557,0.446374752432619,0.567213114754098,FALSE
"Transformer",0.05,27,0.65,0.452459016393443,0.931972789115646,0.00632911392405063,0.469150951519848,0.547540983606557,FALSE
"Transformer",0.05,27,0.7,0.481967213114754,0.993197278911565,0.00632911392405063,0.499763196417808,0.518032786885246,FALSE
"Transformer",0.05,98,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Transformer",0.05,98,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Transformer",0.05,98,0.4,0.491803278688525,0.00680272108843537,0.943037974683544,0.47492034788599,0.508196721311475,FALSE
"Transformer",0.05,98,0.45,0.429508196721311,0.115646258503401,0.721518987341772,0.418582622922587,0.570491803278689,FALSE
"Transformer",0.05,98,0.5,0.40655737704918,0.428571428571429,0.386075949367089,0.407323688969259,0.59344262295082,FALSE
"Transformer",0.05,98,0.55,0.462295081967213,0.863945578231292,0.0886075949367089,0.476276586584001,0.537704918032787,FALSE
"Transformer",0.05,98,0.6,0.481967213114754,0.993197278911565,0.00632911392405063,0.499763196417808,0.518032786885246,FALSE
"Transformer",0.05,98,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.05,98,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.05,41,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Transformer",0.05,41,0.35,0.518032786885246,0.00680272108843537,0.993670886075949,0.500236803582192,0.481967213114754,FALSE
"Transformer",0.05,41,0.4,0.472131147540984,0.0612244897959184,0.854430379746835,0.457827434771377,0.527868852459016,FALSE
"Transformer",0.05,41,0.45,0.445901639344262,0.183673469387755,0.689873417721519,0.436773443554637,0.554098360655738,FALSE
"Transformer",0.05,41,0.5,0.462295081967213,0.605442176870748,0.329113924050633,0.467278050460691,0.537704918032787,FALSE
"Transformer",0.05,41,0.55,0.436065573770492,0.829931972789116,0.069620253164557,0.449776112976836,0.563934426229508,FALSE
"Transformer",0.05,41,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.05,41,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.05,41,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.05,64,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Transformer",0.05,64,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Transformer",0.05,64,0.4,0.501639344262295,0.0272108843537415,0.943037974683544,0.485124429518643,0.498360655737705,FALSE
"Transformer",0.05,64,0.45,0.449180327868852,0.102040816326531,0.772151898734177,0.437096357530354,0.550819672131148,FALSE
"Transformer",0.05,64,0.5,0.4,0.537414965986395,0.272151898734177,0.404783432360286,0.6,FALSE
"Transformer",0.05,64,0.55,0.436065573770492,0.829931972789116,0.069620253164557,0.449776112976836,0.563934426229508,FALSE
"Transformer",0.05,64,0.6,0.478688524590164,0.993197278911565,0,0.496598639455782,0.521311475409836,TRUE
"Transformer",0.05,64,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.05,64,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.1,23,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Transformer",0.1,23,0.35,0.504918032786885,0.00680272108843537,0.968354430379747,0.487578575734091,0.495081967213115,FALSE
