"day","actual","vote_count","majority_signal","SMA_Cross","EMA_Cross","RSI_14","MACD","BBand","Stoch","CCI","WilliamsR","ADX","ROC"
9080,0,9,1,1,1,1,1,1,0,1,1,1,1
9081,1,10,1,1,1,1,1,1,1,1,1,1,1
9082,0,9,1,1,1,1,1,1,0,1,1,1,1
9083,1,10,1,1,1,1,1,1,1,1,1,1,1
9084,1,10,1,1,1,1,1,1,1,1,1,1,1
9085,0,9,1,1,1,1,1,1,0,1,1,1,1
9086,0,9,1,1,1,1,1,1,0,1,1,1,1
9087,0,9,1,1,1,1,1,1,0,1,1,1,1
9088,0,8,1,1,1,1,1,1,0,1,1,1,0
9089,1,8,1,1,1,1,0,1,0,1,1,1,1
9090,1,9,1,1,1,1,0,1,1,1,1,1,1
9091,0,3,0,1,1,0,0,0,0,0,1,0,0
9092,0,2,0,0,1,0,0,0,0,0,1,0,0
9093,0,2,0,0,1,0,0,0,0,0,1,0,0
9094,0,2,0,0,1,0,0,0,0,0,1,0,0
9095,1,3,0,0,1,0,0,0,1,0,1,0,0
9096,1,5,0,0,1,1,0,0,1,0,1,1,0
9097,1,7,1,0,1,1,0,1,1,1,1,1,0
9098,0,4,0,0,1,1,0,0,0,0,1,1,0
9099,1,4,0,0,1,1,0,0,0,0,1,1,0
9100,1,5,0,0,1,1,0,0,1,0,1,1,0
9101,1,8,1,0,1,1,0,1,1,1,1,1,1
9102,0,3,0,0,1,0,0,0,0,0,1,0,1
9103,0,3,0,0,1,0,0,0,0,0,1,0,1
9104,0,3,0,0,1,0,0,0,0,0,1,0,1
9105,1,1,0,0,0,0,0,0,0,0,1,0,0
9106,0,1,0,0,0,0,0,0,0,0,1,0,0
9107,0,1,0,0,0,0,0,0,0,0,1,0,0
9108,1,7,1,0,0,1,0,1,1,1,1,1,1
9109,1,9,1,0,1,1,1,1,1,1,1,1,1
9110,1,10,1,1,1,1,1,1,1,1,1,1,1
9111,0,9,1,1,1,1,1,1,0,1,1,1,1
9112,1,10,1,1,1,1,1,1,1,1,1,1,1
9113,0,10,1,1,1,1,1,1,1,1,1,1,1
9114,1,9,1,1,1,1,1,1,0,1,1,1,1
9115,0,5,0,1,1,0,1,0,0,0,1,0,1
9116,0,4,0,1,1,0,0,0,0,0,1,0,1
9117,1,5,0,1,1,0,0,0,1,0,1,0,1
9118,0,1,0,0,0,0,0,0,0,0,1,0,0
9119,0,1,0,0,0,0,0,0,0,0,1,0,0
9120,0,1,0,0,0,0,0,0,0,0,1,0,0
9121,1,2,0,0,0,0,0,0,1,0,1,0,0
9122,0,2,0,0,0,0,0,0,1,0,1,0,0
9123,0,1,0,0,0,0,0,0,0,0,1,0,0
9124,1,2,0,0,0,0,0,0,1,0,1,0,0
9125,0,1,0,0,0,0,0,0,0,0,1,0,0
9126,1,1,0,0,0,0,0,0,0,0,1,0,0
9127,1,2,0,0,0,0,0,0,1,0,1,0,0
9128,0,1,0,0,0,0,0,0,0,0,1,0,0
9129,0,1,0,0,0,0,0,0,0,0,1,0,0
9130,0,1,0,0,0,0,0,0,0,0,1,0,0
9131,0,1,0,0,0,0,0,0,0,0,1,0,0
9132,0,1,0,0,0,0,0,0,0,0,1,0,0
9133,1,2,0,0,0,0,0,0,1,0,1,0,0
9134,0,2,0,0,0,0,0,0,1,0,1,0,0
9135,1,2,0,0,0,0,0,0,1,0,1,0,0
