"IN_LEN","lambda","seed","Acc","Acc_flip","Sens","Spec","is_MC","naive","flip_beats_naive","strict_anti_pred"
5,0.05,23,0.524122807017544,0.475877192982456,0.425339366515837,0.617021276595745,FALSE,0.515350877192982,FALSE,FALSE
5,0.05,27,0.521929824561403,0.478070175438597,0.502262443438914,0.540425531914894,FALSE,0.515350877192982,FALSE,FALSE
5,0.05,98,0.49780701754386,0.50219298245614,0.420814479638009,0.570212765957447,FALSE,0.515350877192982,FALSE,FALSE
5,0.05,41,0.513157894736842,0.486842105263158,0.407239819004525,0.612765957446809,FALSE,0.515350877192982,FALSE,FALSE
5,0.05,64,0.515350877192982,0.484649122807018,0.475113122171946,0.553191489361702,FALSE,0.515350877192982,FALSE,FALSE
5,0.1,23,0.524122807017544,0.475877192982456,0.398190045248869,0.642553191489362,FALSE,0.515350877192982,FALSE,FALSE
5,0.1,27,0.528508771929825,0.471491228070175,0.552036199095023,0.506382978723404,FALSE,0.515350877192982,FALSE,FALSE
5,0.1,98,0.5,0.5,0.416289592760181,0.578723404255319,FALSE,0.515350877192982,FALSE,FALSE
5,0.1,41,0.513157894736842,0.486842105263158,0.416289592760181,0.604255319148936,FALSE,0.515350877192982,FALSE,FALSE
5,0.1,64,0.513157894736842,0.486842105263158,0.475113122171946,0.548936170212766,FALSE,0.515350877192982,FALSE,FALSE
10,0,23,0.516483516483517,0.483516483516483,0.668181818181818,0.374468085106383,FALSE,0.483516483516484,FALSE,FALSE
10,0,27,0.536263736263736,0.463736263736264,0.359090909090909,0.702127659574468,FALSE,0.483516483516484,FALSE,FALSE
10,0,98,0.569230769230769,0.430769230769231,0.65,0.493617021276596,FALSE,0.483516483516484,FALSE,FALSE
10,0,41,0.496703296703297,0.503296703296703,0.640909090909091,0.361702127659574,FALSE,0.483516483516484,TRUE,FALSE
10,0,64,0.527472527472527,0.472527472527473,0.409090909090909,0.638297872340426,FALSE,0.483516483516484,FALSE,FALSE
10,0.05,23,0.503296703296703,0.496703296703297,0.686363636363636,0.331914893617021,FALSE,0.483516483516484,TRUE,FALSE
10,0.05,27,0.527472527472527,0.472527472527473,0.359090909090909,0.685106382978723,FALSE,0.483516483516484,FALSE,FALSE
10,0.05,98,0.549450549450549,0.450549450549451,0.568181818181818,0.531914893617021,FALSE,0.483516483516484,FALSE,FALSE
10,0.05,41,0.485714285714286,0.514285714285714,0.645454545454546,0.336170212765957,FALSE,0.483516483516484,TRUE,FALSE
10,0.05,64,0.527472527472527,0.472527472527473,0.413636363636364,0.634042553191489,FALSE,0.483516483516484,FALSE,FALSE
10,0.1,23,0.503296703296703,0.496703296703297,0.663636363636364,0.353191489361702,FALSE,0.483516483516484,TRUE,FALSE
10,0.1,27,0.505494505494505,0.494505494505495,0.427272727272727,0.578723404255319,FALSE,0.483516483516484,TRUE,FALSE
10,0.1,98,0.573626373626374,0.426373626373626,0.590909090909091,0.557446808510638,FALSE,0.483516483516484,FALSE,FALSE
10,0.1,41,0.49010989010989,0.50989010989011,0.645454545454546,0.34468085106383,FALSE,0.483516483516484,TRUE,FALSE
10,0.1,64,0.516483516483517,0.483516483516483,0.422727272727273,0.604255319148936,FALSE,0.483516483516484,FALSE,FALSE
