"fold","arch","seed","naive","Acc","Acc_flip","Sens","Spec","is_MC","flip_beats_naive","strict_anti_pred"
6,"BiLSTM",23,0.46,0.5,0.5,0.597826086956522,0.416666666666667,FALSE,TRUE,FALSE
6,"BiLSTM",42,0.46,0.555,0.445,0.608695652173913,0.509259259259259,FALSE,FALSE,FALSE
6,"BiLSTM",98,0.46,0.52,0.48,0.641304347826087,0.416666666666667,FALSE,TRUE,FALSE
6,"GRU",23,0.46,0.49,0.51,0.5,0.481481481481481,FALSE,TRUE,FALSE
6,"GRU",42,0.46,0.485,0.515,0.489130434782609,0.481481481481481,FALSE,TRUE,FALSE
6,"GRU",98,0.46,0.47,0.53,0.478260869565217,0.462962962962963,FALSE,TRUE,FALSE
6,"SimpleRNN",23,0.46,0.5,0.5,0.41304347826087,0.574074074074074,FALSE,TRUE,FALSE
6,"SimpleRNN",42,0.46,0.505,0.495,0.434782608695652,0.564814814814815,FALSE,TRUE,FALSE
6,"SimpleRNN",98,0.46,0.495,0.505,0.41304347826087,0.564814814814815,FALSE,TRUE,FALSE
6,"Conv1D",23,0.46,0.5,0.5,0.565217391304348,0.444444444444444,FALSE,TRUE,FALSE
6,"Conv1D",42,0.46,0.545,0.455,0.554347826086957,0.537037037037037,FALSE,FALSE,FALSE
6,"Conv1D",98,0.46,0.505,0.495,0.619565217391304,0.407407407407407,FALSE,TRUE,FALSE
6,"TCN",23,0.46,0.46,0.54,0.445652173913043,0.472222222222222,FALSE,TRUE,TRUE
6,"TCN",42,0.46,0.54,0.46,0.489130434782609,0.583333333333333,FALSE,FALSE,FALSE
6,"TCN",98,0.46,0.48,0.52,0.66304347826087,0.324074074074074,FALSE,TRUE,FALSE
6,"Transformer",23,0.46,0.55,0.45,0.521739130434783,0.574074074074074,FALSE,FALSE,FALSE
6,"Transformer",42,0.46,0.495,0.505,0.391304347826087,0.583333333333333,FALSE,TRUE,FALSE
6,"Transformer",98,0.46,0.51,0.49,0.478260869565217,0.537037037037037,FALSE,TRUE,FALSE
7,"BiLSTM",23,0.53,0.435,0.565,0.386792452830189,0.48936170212766,FALSE,TRUE,TRUE
7,"BiLSTM",42,0.53,0.505,0.495,0.528301886792453,0.478723404255319,FALSE,FALSE,FALSE
7,"BiLSTM",98,0.53,0.43,0.57,0.528301886792453,0.319148936170213,FALSE,TRUE,TRUE
7,"GRU",23,0.53,0.49,0.51,0.452830188679245,0.531914893617021,FALSE,FALSE,FALSE
7,"GRU",42,0.53,0.475,0.525,0.556603773584906,0.382978723404255,FALSE,FALSE,FALSE
7,"GRU",98,0.53,0.465,0.535,0.547169811320755,0.372340425531915,FALSE,TRUE,TRUE
7,"SimpleRNN",23,0.53,0.48,0.52,0.471698113207547,0.48936170212766,FALSE,FALSE,FALSE
7,"SimpleRNN",42,0.53,0.51,0.49,0.490566037735849,0.531914893617021,FALSE,FALSE,FALSE
7,"SimpleRNN",98,0.53,0.485,0.515,0.424528301886792,0.553191489361702,FALSE,FALSE,FALSE
7,"Conv1D",23,0.53,0.49,0.51,0.509433962264151,0.468085106382979,FALSE,FALSE,FALSE
7,"Conv1D",42,0.53,0.44,0.56,0.584905660377358,0.276595744680851,FALSE,TRUE,TRUE
7,"Conv1D",98,0.53,0.49,0.51,0.622641509433962,0.340425531914894,FALSE,FALSE,FALSE
7,"TCN",23,0.53,0.47,0.53,0.584905660377358,0.340425531914894,FALSE,FALSE,FALSE
7,"TCN",42,0.53,0.445,0.555,0.509433962264151,0.372340425531915,FALSE,TRUE,TRUE
7,"TCN",98,0.53,0.465,0.535,0.622641509433962,0.287234042553192,FALSE,TRUE,TRUE
7,"Transformer",23,0.53,0.485,0.515,0.594339622641509,0.361702127659574,FALSE,FALSE,FALSE
7,"Transformer",42,0.53,0.45,0.55,0.311320754716981,0.606382978723404,FALSE,TRUE,TRUE
7,"Transformer",98,0.53,0.455,0.545,0.462264150943396,0.446808510638298,FALSE,TRUE,TRUE
