"IN_LEN","lambda","seed","Acc","Acc_flip","Sens","Spec","is_MC","naive","flip_beats_naive","strict_anti_pred"
5,0,98,0.459016393442623,0.540983606557377,0.430379746835443,0.489795918367347,FALSE,0.518032786885246,TRUE,TRUE
5,0,41,0.452459016393443,0.547540983606557,0.506329113924051,0.394557823129252,FALSE,0.518032786885246,TRUE,TRUE
5,0,64,0.449180327868852,0.550819672131148,0.493670886075949,0.401360544217687,FALSE,0.518032786885246,TRUE,TRUE
5,0.05,23,0.449180327868852,0.550819672131148,0.468354430379747,0.428571428571429,FALSE,0.518032786885246,TRUE,TRUE
5,0.05,27,0.442622950819672,0.557377049180328,0.474683544303797,0.408163265306122,FALSE,0.518032786885246,TRUE,TRUE
5,0.05,98,0.465573770491803,0.534426229508197,0.392405063291139,0.54421768707483,FALSE,0.518032786885246,TRUE,TRUE
5,0.05,41,0.445901639344262,0.554098360655738,0.481012658227848,0.408163265306122,FALSE,0.518032786885246,TRUE,TRUE
5,0.05,64,0.449180327868852,0.550819672131148,0.487341772151899,0.408163265306122,FALSE,0.518032786885246,TRUE,TRUE
5,0.1,23,0.449180327868852,0.550819672131148,0.468354430379747,0.428571428571429,FALSE,0.518032786885246,TRUE,TRUE
5,0.1,27,0.468852459016393,0.531147540983607,0.462025316455696,0.476190476190476,FALSE,0.518032786885246,TRUE,TRUE
5,0.1,98,0.478688524590164,0.521311475409836,0.430379746835443,0.530612244897959,FALSE,0.518032786885246,TRUE,TRUE
5,0.1,41,0.445901639344262,0.554098360655738,0.487341772151899,0.401360544217687,FALSE,0.518032786885246,TRUE,TRUE
5,0.1,64,0.449180327868852,0.550819672131148,0.487341772151899,0.408163265306122,FALSE,0.518032786885246,TRUE,TRUE
10,0,23,0.519736842105263,0.480263157894737,0.537974683544304,0.5,FALSE,0.519736842105263,FALSE,FALSE
10,0,27,0.559210526315789,0.440789473684211,0.60126582278481,0.513698630136986,FALSE,0.519736842105263,FALSE,FALSE
10,0,98,0.526315789473684,0.473684210526316,0.556962025316456,0.493150684931507,FALSE,0.519736842105263,FALSE,FALSE
10,0,41,0.536184210526316,0.463815789473684,0.537974683544304,0.534246575342466,FALSE,0.519736842105263,FALSE,FALSE
10,0,64,0.506578947368421,0.493421052631579,0.518987341772152,0.493150684931507,FALSE,0.519736842105263,FALSE,FALSE
10,0.05,23,0.509868421052632,0.490131578947368,0.525316455696203,0.493150684931507,FALSE,0.519736842105263,FALSE,FALSE
10,0.05,27,0.559210526315789,0.440789473684211,0.60126582278481,0.513698630136986,FALSE,0.519736842105263,FALSE,FALSE
10,0.05,98,0.529605263157895,0.470394736842105,0.525316455696203,0.534246575342466,FALSE,0.519736842105263,FALSE,FALSE
10,0.05,41,0.536184210526316,0.463815789473684,0.544303797468354,0.527397260273973,FALSE,0.519736842105263,FALSE,FALSE
10,0.05,64,0.503289473684211,0.496710526315789,0.506329113924051,0.5,FALSE,0.519736842105263,FALSE,FALSE
10,0.1,23,0.506578947368421,0.493421052631579,0.525316455696203,0.486301369863014,FALSE,0.519736842105263,FALSE,FALSE
10,0.1,27,0.565789473684211,0.434210526315789,0.563291139240506,0.568493150684932,FALSE,0.519736842105263,FALSE,FALSE
10,0.1,98,0.529605263157895,0.470394736842105,0.563291139240506,0.493150684931507,FALSE,0.519736842105263,FALSE,FALSE
10,0.1,41,0.523026315789474,0.476973684210526,0.550632911392405,0.493150684931507,FALSE,0.519736842105263,FALSE,FALSE
10,0.1,64,0.490131578947368,0.509868421052632,0.462025316455696,0.520547945205479,FALSE,0.519736842105263,FALSE,FALSE
